OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
baseball,basketball,statistics,baseball,BAD,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",the paper notes that advanced baseball statistics seem to predict performance better than basketball based on this study.,i don't think that your baseball analogy really applies because  productivity  is better-- and more easily -- measured through statistics in baseball than it is in basketball.,peta uses a combination of common sense and advanced baseball statistics (or sabermetrics) to explain why betting on baseball is a far superior choice to betting on football or basketball - both from a financial and an emotional perspective.,
baseball,basketball,easier to quantify statistically,baseball,BAD,1.0,0,1,,,,,
baseball,basketball,easier to quantify,baseball,GOOD,1.0,1,0,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",baseball is a lot easier to quantify than basketball.,,,
baseball,basketball,league,baseball,BAD,1.0,0,1,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.",in sustained interest the baseball league fared better than either basketball or softball.,"that the two leagues have different rules is what makes baseball infinitly better than football, hockey, or basketball.","michael jordan's lack of success in minor league baseball is not an indicator that baseball is  harder  than basketball, nor does it say anything about jordan's genetically-determined  athletic  talent.","the chart doesn't tell the entire story, since it doesn't include minor league salaries and doesn't account for the fact that baseball contracts are far friendlier than football or basketball deals because most of the money is guaranteed."
baseball,basketball,skills,baseball,BAD,1.0,0,1,thats like saying michael jordan could hit a baseball better than babe ruth because of his superior basketball skills.,"in addition to being an elite baseball player, dennis is an excellent athlete, as demonstrated by his superior basketball skills.","of course, baseball is a much easier game to call than basketball, but still, if vin started seeing his skills deteriorate, you can bet he'd step down the next day.",,
baseball,basketball,ball,baseball,BAD,1.0,0,1,thats like saying michael jordan could hit a baseball better than babe ruth because of his superior basketball skills.,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.","baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.","the kind of games nintendo makes is not inferior or superior to other kinds of games, just like basketball is not superior or inferior to baseball.","for the record, basketball is worse than baseball and neither of them are any better of a spectator sport than nascar."
baseball,basketball,larger,baseball,BAD,1.0,0,1,"basketball, on the other hand, uses a larger ball that travels much slower than a baseball or hockey puck, so 10 footcandles would be sufficient.","this issue in the eyes of scouts and baseball men is that shorter pitchers, for whatever reason, break down easier than the taller, larger pitchers (say, just realized that pitchers have been growing much like basketball players been growing).",,,
baseball,basketball,football,baseball,BAD,1.0,0,1,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.",i think the baseball managers and football coaches are smarter than basketball coaches.'',baseball is better than football and basketball who have caps!,kentucky high school baseball is superior to kentucky high school basketball and football when it comes to producing big-time talent.,"basketball and football had their scandals, some just as bad or worse than baseball."
baseball,basketball,easier to quantify because,baseball,BAD,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",,,,
baseball,basketball,faster,basketball,GOOD,1.0,1,0,basketball is faster paced and has more action than baseball.,"football and baseball are certainly not faster than soccer.after every play there is a short break in football, thats jsut annoying and baseball.....basketball is faster sure but football and baseball are just slower and not as demanding for the sportsmen as soccer .",basketball and football are played at a much faster pace than baseball.,the average basketball player can run faster and jump higher than the average baseball player.,3) basketball is by its very nature a faster-paced game than baseball and thus more prone to momentum-based runs.
baseball,basketball,quicker,basketball,GOOD,1.0,1,0,"that would demonstrate once again that basketball players and coaches are both smarter (think quicker and more continuously, no long in-game breaks necessary) and more fan-friendly than baseball or football coaches... .","people want to play football and basketball, where you can get to the big game and the big money a lot quicker than you can in baseball.","imo, the popularity of basketball will continue to grow, mainly because it's one of the sports i like to watch the most, but also because it's more fast-paced, quicker rewards than these long games of soccer or baseball.",,
baseball,basketball,greater,basketball,BAD,1.0,0,1,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.","like basketball, i have a greater analytical knowledge of soccer than i do with baseball.",@upinc44 a single basketball player can have greater influence over the outcome of a game than a baseball player (other than the pitcher).,"others argue that basketball and football provide more expedient routes to stardom and money, specifically, both football and basketball provide greater exposure at the collegiate level than does baseball.","also, the ability of one basketball player to take over a game is greater than that of a baseball player, especially considering rule limitations on player movement in baseball."
baseball,basketball,hockey,basketball,BAD,1.0,0,1,lol yet another reason why baseball is inferior to tree hockey (aka basketball).,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.",there is not a single basketball or football uniform nicer than a hockey or baseball uniform.,now baseball is no better than football or hockey or basketball.,"as baseball doesn't have a clock, it moves at a slower pace than, say, basketball, soccer, or hockey."
baseball,basketball,higher,basketball,BAD,1.0,0,1,the average basketball player can run faster and jump higher than the average baseball player.,"the soft, star-shaped yackle ball flies farther than a football, higher than a basketball and is easier to catch than a baseball.",,,
baseball,basketball,easier to isolate,basketball,BAD,1.0,0,1,,,,,
baseball,basketball,bigger,basketball,BAD,1.0,0,1,"given that the advantages of college basketball over the d-league are currently greater than college vs. minor league baseball, it would likely mean even bigger contracts to get the critical mass of talent necessary.",,,,
baseball,basketball,team,basketball,BAD,1.0,0,1,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.","seems like he's putting lipstick on a pig, scccs baseball team is even worse than basketball or football.","more to the point, the best teams in basketball have a much better winning percentage than in baseball.","1) your basketball analogy works better than you might think, because our offensive philosophy is a team-oriented approach to baseball.","well, if you're going to do laundry for a pro sports team, basketball would definitely be a better choice than baseball."
baseball,basketball,easier,basketball,GOOD,1.0,1,0,i never said basketball was easier than baseball.,carey found basketball an easier sport to do than baseball.,football and basketball are far easier to project than baseball .,a statement like that is as ridiculous as saying  basketball is a better sport than baseball because a basketball can be seen by tv cameras easier.,"basketball talent is a lot easier to spot than, say, baseball talent."
baseball,basketball,boundaries,basketball,BAD,1.0,0,1,that's like arguing that baseball is inferior to basketball because they use different boundaries.,,,,
amazon,google,app,amazon,BAD,1.0,0,1,"last week, amazon unleashed its new video-streaming device the amazon fire tv (or firetv, as the label reads), which the company says would be faster and easier to use than competing devices like the google chromecast apple tv and the roku products.",amazon appstore has much greater potential than google android market.,"amazon better for generating app revenue than google, flurry says .","in my experience, too many of these android apps - which google doesn't vet in advance - are flaky and inferior to those in the curated collections of apple and amazon.",the amazon appstore is doing a better job selling apps than google play is.
amazon,google,music,amazon,GOOD,1.0,1,0,"i haven't spent much time with amazon mp3, and i  find the integration with my devices to be superior to google music.",since day one i thought amazon offered a better product than google music.,"on the whole, amazon offers better prices on music than itunes or google play.","this comparison shows that amazon kindle fire hd is better than asus google nexus 7 for appearance, while asus google nexus 7 is better than amazon kindle fire hd for business, photography, music and entertainment.",amazon is just so much better and their music is always cheaper than google too.
amazon,google,api,amazon,BAD,1.0,0,1,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,"as a rapidly growing video site that has generated more web traffic than facebook and hulu in past months, twitch will give amazon greater scale to compete for ad dollars with the google-owned youtube, the world's biggest online video destination by far.",,,
amazon,google,storage,amazon,GOOD,1.0,1,0,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,now i'm uploading to amazon because of the unlimited storage and the app is working much better than the google music app currently is.,,,
amazon,google,prediction,amazon,BAD,1.0,0,1,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,,,,
amazon,google,delivery,amazon,GOOD,1.0,1,0,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).",why amazon still wins amazon has two superior delivery services google and b&n can't match.,"for google, the arrangement is just another step toward building a list of retail partners that allow it to offer a comparable, if not better, collection of products for same-day delivery than amazon.",,
amazon,google,easier to get at,amazon,GOOD,1.0,1,0,"however, the content provided by the amazon machine is still far superior and easier to get at than that offered by google.",,,,
amazon,google,sales,amazon,GOOD,1.0,1,0,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).","amazon has better operating growth than google, and it's beating ebay in sales volume and customer acquisition.","in some ways, amazon is better suited to be a true tablet competitor than google, and the subsidized price point is obviously an advantage they'll have in terms of sales.",,
amazon,google,volumes,amazon,BAD,1.0,0,1,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).",,,,
amazon,google,past,amazon,BAD,1.0,0,1,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).","as a rapidly growing video site that has generated more web traffic than facebook and hulu in past months, twitch will give amazon greater scale to compete for ad dollars with the google-owned youtube, the world's biggest online video destination by far.",,,
amazon,google,lighter,google,BAD,1.0,0,1,"other than being affordable, the google nexus 7 is lighter and more portable with its 7-inch screen and 340 gram weight - even lighter than the successful amazon kindle fire .","moreover, the google nexus 7 is both lighter and skinnier than the amazon kindle fire, which again contributes to its more natural feel in the hand.",,,
amazon,google,greater,google,BAD,1.0,0,1,google's entry could cause this e-book technology to explode ... google has much greater reach than amazon.,"drop in google of 1/3 loss of market cap 47,143,925,136 this is greater than all of amazon at its peak.","for struggling independent bookstores, a customer donning google glass with built-in isbn capture search could be a greater threat than the amazon price check contretemps.","clearly, the volume of searches [and potential book-buying discoveries] on google is vastly greater than even amazon [or ebay] can claim.","having already digitized twelve million books, including out-of-print titles, google will have a far greater selection than amazon or apple."
amazon,google,cheaper,google,GOOD,1.0,1,0,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.","when the product was released, google stated that its service would be faster and cheaper than what amazon provided.",google is starting in a better position than amazon did: even the 16gb nexus 7 is cheaper than the highest historic cost of anamazon tablet.costing just $159.25 (£103) in materials.,,
amazon,google,smarter,google,BAD,1.0,0,1,,,,,
amazon,google,easier,google,BAD,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.",zach: i love google adsense and find it easier in most ways than amazon.,"still, simply writing an app and uploading it to google's cloud is significantly easier than fiddling with amazon web services and beanstalk.",google seems to have decided it would be much easier to integrate with amazon than to seek licensing from the labels and consumer mindshare on its own.,"it's the first i've heard of the google books site, too, and the book viewing is much easier for me than on the amazon site."
amazon,google,safer,google,BAD,1.0,0,1,,,,,
amazon,google,higher,google,BAD,1.0,0,1,"add more authors, more newsletters, more websites, more google hits, and we have a niche cloud store that attracts fans, makes us higher profits, and is easier to find things than on amazon.","each of these devices offers very similar hardware components, including an 8-inch screen running at a lowly resolution of just 1280 x 800-the google nexus 7 offers a superior 1080p screen, whereas the amazon kindle fire hdx goes even higher at 1920 x 1200.",,,
amazon,google,easier to use,google,BAD,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.",,,,
amazon,google,windows,google,BAD,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.","it doesn't help that google's android also runs rings around the iphone 5 with a broader selection of devices and partners than windows phone offers, a better apps selection than windows phone, and viable ecosystem choices from both amazon and google.",,,
amazon,google,play,google,GOOD,1.0,1,0,the changes help make google play a better alternative to apple and amazon alternatives.,"although, the google play version of a game tends to get faster updates than the amazon one.",i'm so glad i did because google play is so much better than the amazon appstore.,"it also then allows you to use google play, which i like better for music than amazon .","i don't recall the specific example right now, i just noticed that google music played it better than amazon mp3."
espn,fox,greater,espn,BAD,1.0,0,1,"plus, the espn networks have a greater reach in this country than fox soccer channel.","espn has greater professionalism than speed/fox and takes the sport very seriously where with fox/speed the coverage is jokes, light, feel good moments with dw, roberts, wendy etc. .",even reruns of espn fc's show that are televised in the early morning hours are generating a greater average viewing audience than the best episode of fox soccer daily thus far.,,
espn,fox,talent,espn,GOOD,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",your overall premise is correct...not just for the talent but the overall production of these games on fox has been inferior to what espn/abc/cbs do on a regular basis.,,,
espn,fox,worse for me,espn,BAD,1.0,0,1,,,,,
espn,fox,resources,espn,GOOD,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",,,,
espn,fox,access,espn,GOOD,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",,,,
espn,fox,company,espn,BAD,1.0,0,1,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",,,,
espn,fox,circus,espn,BAD,1.0,0,1,"i'll take the tnt, espn, abc issues as it is better than listening to the circus attitude fox gives us.",,,,
espn,fox,dust,espn,BAD,1.0,0,1,"i do know espn will be better than fox,as they have been left in the dust.",,,,
espn,fox,attitude,espn,GOOD,1.0,1,0,"i'll take the tnt, espn, abc issues as it is better than listening to the circus attitude fox gives us.",,,,
espn,fox,better for them to allow fox to rise up as its primary competition,espn,BAD,1.0,0,1,"so, for espn, it was much better for them to allow fox to rise up as its primary competition than comcast/nbc.",,,,
espn,fox,easier,fox,BAD,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.",,,,
espn,fox,easier to avoid,fox,BAD,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.",,,,
espn,fox,sports,fox,BAD,1.0,0,1,"when it comes to watching football and basketball, fox sports is superior to espn in nearly every single way.",over the weekend fox sports oklahoma did something smarter than what espn has been doing lately.,in fact all of fox sports radio is better than espn radio.,i really like the coverage on fox sports its much better than on espn.,"those are brutal start times for fox sports, and there is little chance fox will average better viewership numbers than espn."
espn,fox,channels,fox,BAD,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.",,,,
espn,fox,better to be over engaged,fox,BAD,1.0,0,1,,,,,
espn,fox,pm,fox,BAD,1.0,0,1,,,,,
espn,fox,jaws,fox,BAD,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.",,,,
espn,fox,time,fox,BAD,1.0,0,1,"those are brutal start times for fox sports, and there is little chance fox will average better viewership numbers than espn.","the hd picture on fox looks great tonight, about 4 million times better than the espn game that they tried to pass off as hd.","mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.","( espn is worse than fox at this even for nationwide races) i know times change, but a 5 minute commercial break and then a green flag with a stupid digger cam,digger animation, and a crawler to order a digger ring tone!","after watching digger come out of his hole approximately 147 times this weekend, i was starting to change my opinion that fox is better than espn and put the 4-letter network back at the top when it comes to nascar coverage."
espn,fox,larry,fox,BAD,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.",,,,
espn,fox,hammond,fox,BAD,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.",,,,
juice,tea,easier for me to drink juice or tea,juice,BAD,1.0,0,1,"i fill a 1,5l bottle with about 2/3 water and 1/3 orange juice (it's easier for me to drink juice or tea than plain water) and i make sure i drink that in a day.",,,,
juice,tea,easier to take with a little sugar,juice,BAD,1.0,0,1,i have also made a tea out of dill and it also works but not as quickly - but is easier to take with a little sugar than pickle juice.,,,,
juice,tea,folgers,juice,BAD,1.0,0,1,"coffee is a wake-up juice, and as long as you don't have the bitterness (easily possible, even with folgers, if you figure out the right way to do it) i think it tastes even better than tea.",,,,
juice,tea,easier,juice,BAD,1.0,0,1,"i fill a 1,5l bottle with about 2/3 water and 1/3 orange juice (it's easier for me to drink juice or tea than plain water) and i make sure i drink that in a day.",i have also made a tea out of dill and it also works but not as quickly - but is easier to take with a little sugar than pickle juice.,"100 percent juice blends given the rise in popularity of juicing, it's easier than ever to find high-quality, fresh, 100 percent juices that are chock-full of fruits, veggies, and additions like protein, spirulina, green tea extract, and echinacea.",,
juice,tea,bitterness,juice,BAD,1.0,0,1,"coffee is a wake-up juice, and as long as you don't have the bitterness (easily possible, even with folgers, if you figure out the right way to do it) i think it tastes even better than tea.",,,,
juice,tea,better for her,juice,BAD,1.0,0,1,you'll have to convince her that the organic cane juice in it is much better for her than the gross splenda she puts in her tea.,,,,
juice,tea,lighter,tea,BAD,1.0,0,1,,,,,
juice,tea,fruit,tea,BAD,1.0,0,1,"also, hot beverages such as coffee and tea are generally safer than fruit juices, sugarcane juice, or buttermilk.","there is coffee, tea, water (which is better than bottled water), some type of punch or lemonade at lunch, orange juice, apple juice, and grapefruit juice for breakfast.","gently brewed white tea (water, superior white peony tea leaves), fructose, pom wondeful pomegranate juice from concentrate, pomx (pom wondefrul pomgegranate antioxidant extract), peach juice from concentrate, passionfruit juice from concentrate, natural flavors, citric acid, pectin","gently brewed white tea (water, superior white peony tea leaves), fructose, pom wonderful pomegranate juice from concentrate, pomx (pom wonderful pomegranate antioxidant extract-patent pending), peach juice from concentrate, passion fruit juice from concentrate, natural flavors, citric acid.","on one hand, not only is tea is full of antioxidants, which are a special type of vitamin that keep you healthy, but drinking it is a smarter decision than reaching for a soda or sugary fruit juice if you're thirsty!"
juice,tea,lemon,tea,BAD,1.0,0,1,"for me, green tea powder was more drying, though worked faster than lemon juice (diluted).",the black/green tea mix tastes better than cola and even better with lemon juice inside but that is tooth-nightmare :( .,"there is coffee, tea, water (which is better than bottled water), some type of punch or lemonade at lunch, orange juice, apple juice, and grapefruit juice for breakfast.","lipton iced tea to go (i like it better than crystal light, sucralose vs. aspartame) is also nice in sparkling or plain water, and lemon juice with a little sugar free vanilla syrup is also great.","eon coffee's commitment to healthy drinks goes far beyond its smoothie offerings, sugar-blocking mulberry and other antioxidants fuse with steaming mugs of tea and iced lemonades to refresh and nourish the body better than a morning swim in a vat of orange juice."
juice,tea,description,tea,BAD,1.0,0,1,,,,,
juice,tea,hit,tea,BAD,1.0,0,1,"gently brewed white tea (water, superior white peony tea leaves), fructose, pom wondeful pomegranate juice from concentrate, pomx (pom wondefrul pomgegranate antioxidant extract), peach juice from concentrate, passionfruit juice from concentrate, natural flavors, citric acid, pectin","gently brewed white tea (water, superior white peony tea leaves), fructose, pom wonderful pomegranate juice from concentrate, pomx (pom wonderful pomegranate antioxidant extract-patent pending), peach juice from concentrate, passion fruit juice from concentrate, natural flavors, citric acid.","although there are no definitive human studies about the effects of drinking tea for skin health, tea - green, white, or black, caffeinated or decaffeinated - is always a better choice than soda, fruit juice, or sugary coffee concoctions.","the white tea extract and cell walls fraction extract also had significant inhibitory activity against mda-mb-435s cells after 48 hours of exposure, which was actually greater than that of the cell juice serum.",
juice,tea,coffee,tea,BAD,1.0,0,1,"also, hot beverages such as coffee and tea are generally safer than fruit juices, sugarcane juice, or buttermilk.","now i drink tea because i like it better than soda, juice, or coffee.",i love green tea and i feel a lot better when i drink green tea rather than coffee or juice.,"for me, selling coffee/tea is whole lot easier then selling soap,juice or vitamins...and shoes or make up.","there is coffee, tea, water (which is better than bottled water), some type of punch or lemonade at lunch, orange juice, apple juice, and grapefruit juice for breakfast."
juice,tea,soda,tea,BAD,1.0,0,1,iced tea is a much better choice than soda or juice boxes.,"now i drink tea because i like it better than soda, juice, or coffee.","serving tea to your children is a way better option than sodas for sure, and juice too (dependent on the situation).","on one hand, not only is tea is full of antioxidants, which are a special type of vitamin that keep you healthy, but drinking it is a smarter decision than reaching for a soda or sugary fruit juice if you're thirsty!","i'm pretty sure tea is much better for you than soda and it's the only thing that i can stand, besides cranberry juice, coca cola and dr. pepper."
juice,tea,safer,tea,GOOD,1.0,1,0,"also, hot beverages such as coffee and tea are generally safer than fruit juices, sugarcane juice, or buttermilk.","so black tea may actually be a safer starting material for brewing kombucha than juice or plain sugar water, given the same amount of sugar and the same ph. interesting... i still wonder about the concentration of caffeine before and after though.",,,
juice,tea,longer,tea,BAD,1.0,0,1,,,,,
juice,tea,act,tea,BAD,1.0,0,1,"but if a  juice drink  with hfcs as its main flavoring ingredient isn't exactly the kind you had in mind, there are better choices available, such as honest kids organic juice drink, made by honest tea.","gently brewed white tea (water, superior white peony tea leaves), fructose, pom wondeful pomegranate juice from concentrate, pomx (pom wondefrul pomgegranate antioxidant extract), peach juice from concentrate, passionfruit juice from concentrate, natural flavors, citric acid, pectin","gently brewed white tea (water, superior white peony tea leaves), fructose, pom wonderful pomegranate juice from concentrate, pomx (pom wonderful pomegranate antioxidant extract-patent pending), peach juice from concentrate, passion fruit juice from concentrate, natural flavors, citric acid.","the white tea extract and cell walls fraction extract also had significant inhibitory activity against mda-mb-435s cells after 48 hours of exposure, which was actually greater than that of the cell juice serum.","so black tea may actually be a safer starting material for brewing kombucha than juice or plain sugar water, given the same amount of sugar and the same ph. interesting... i still wonder about the concentration of caffeine before and after though."
carolina,missouri,foes,missouri,BAD,1.0,0,1,,,,,
carolina,missouri,record,missouri,BAD,1.0,0,1,,,,,
carolina,missouri,division,missouri,BAD,1.0,0,1,,,,,
carolina,missouri,georgia,missouri,BAD,1.0,0,1,"personally, missouri matches up better with florida than south carolina, but the toughest game among all three was at georgia and the tigers already bagged that win.","colorado (denver) and missouri show equal or better than average performance on naep and positive charter school effects.16 arkansas, california, georgia, illinois (chicago), louisiana and north carolina all score lower than the naep average but still have positive charter growth.",,,
carolina,missouri,greater,missouri,BAD,1.0,0,1,"for example, colorado, missouri, ohio and florida all show obama leads that are greater than his lead at the national level, while north carolina and nevada show closer races - gaps of about four percentage points.",,,,
carolina,missouri,south,missouri,BAD,1.0,0,1,"missouri reflects the nation better than south carolina does,  says robert botsch, a usc aiken professor.",but the deciding factor could be snyder's commitment to his players and to the fact missouri is a better basketball job than south carolina.,"missouri is hungry to get its first sec victory, behind a better-than-average defense, and south carolina is toting the #7 ranking with pride.","personally, missouri matches up better with florida than south carolina, but the toughest game among all three was at georgia and the tigers already bagged that win.","the vols take on missouri this week, speaking of which, there were better tv ratings for the missouri-south carolina game in knoxville than there were in st. louis which may speak to the culture of college football in the south."
oracle,postgresql,faster,oracle,GOOD,1.0,1,0,"this publication shows that a properly tuned postgresql is not only as fast or faster than mysql ( 720.56 specjappserver2004 jops@standard ), but almost as fast as oracle (since the hardware platforms are different, it's hard to compare directly).","i hope oracle is faster than postgresql in many ways, but i found both are performant.","with permanent storage that fast, postgresql 7.0 would perform on a par with, if not faster than, oracle 8i.",oracle seems to be hell lot faster than mysql/postgresql to load raw data even when it's installed on reiserfs.,"this publication shows that a properly tuned postgresql is not only as fast or faster than mysql, but almost as fast as oracle (since the hardware platforms are different, it's hard to compare directly )."
oracle,postgresql,closer to oracle compatibility,oracle,BAD,1.0,0,1,"it's likely that any organization that wants to replace oracle with an open-source dbms would be better served going with postgresql, which seems much closer to oracle compatibility than ingres is.",,,,
oracle,postgresql,boxes,oracle,BAD,1.0,0,1,,,,,
oracle,postgresql,postgres,oracle,BAD,1.0,0,1,"this publication shows that a properly tuned postgresql is not only as fast or faster than mysql ( 720.56 specjappserver2004 jops@standard ), but almost as fast as oracle (since the hardware platforms are different, it's hard to compare directly).","i hope oracle is faster than postgresql in many ways, but i found both are performant.","with permanent storage that fast, postgresql 7.0 would perform on a par with, if not faster than, oracle 8i.",oracle seems to be hell lot faster than mysql/postgresql to load raw data even when it's installed on reiserfs.,oracle on a single system doesn't scale much better (if even) than postgresql on a single system.
oracle,postgresql,xeon,oracle,BAD,1.0,0,1,,,,,
oracle,postgresql,machines,oracle,BAD,1.0,0,1,,,,,
oracle,postgresql,linux,oracle,BAD,1.0,0,1,,,,,
oracle,postgresql,e6500,oracle,BAD,1.0,0,1,,,,,
