,
is,O
javascript,B-ASPOBJ
better,0
than,0
perl,B-OTHOBJ
?,0
,
is,O
pennsylvania,B-ASPOBJ
better,0
than,0
virginia,B-OTHOBJ
?,0
,
is,O
jeep,B-ASPOBJ
better,0
than,0
suv,B-OTHOBJ
?,0
,
google,B-ASPOBJ
vs,0
microsoft,B-OTHOBJ
,
cnn,B-ASPOBJ
vs,0
fox,B-OTHOBJ
,
is,O
java,B-ASPOBJ
safer,B ASP
than,0
smalltalk,B-OTHOBJ
?,0
,
what,O
is,O
safer,B ASP
playstation,B-ASPOBJ
or,0
wii,B-OTHOBJ
?,0
,
is,O
ds,B-ASPOBJ
wiser,B ASP
than,0
wii,B-OTHOBJ
?,0
,
what,O
is,O
better,0
windows 8,B-ASPOBJ
or,0
windows xp,B-OTHOBJ
?,0
,
what,O
is,O
better,0
kennedy,B-ASPOBJ
or,0
nixon,B-OTHOBJ
?,0
,
what,O
is,O
better,0
juice,B-ASPOBJ
or,0
milk,B-OTHOBJ
?,0
,
is,O
chrysler,B-ASPOBJ
easier,B ASP
than,0
toyota,B-OTHOBJ
?,0
,
what,O
is,O
slower,B ASP
pasta,B-ASPOBJ
or,0
soup,B-OTHOBJ
?,0
,
what,O
is,O
nicer,B ASP
gamecube,B-ASPOBJ
or,0
playstation,B-OTHOBJ
?,0
,
is,O
iphone,B-ASPOBJ
better,0
than,0
laptop,B-OTHOBJ
?,0
,
